Vmean;Vmax;Bmax;VmBm;MagnM;Bdo_Bup;DV;Ndo_Nup;Thita
928;707;11.5;4.07;1.2;2.47;60;1.86;67
877;814;18.8;7.65;3.8;2.38;150;2.19;54
503;457;12.1;2.76;2.1;2.07;66;2.19;64
484;385;14.4;2.77;4.3;1.44;44;2.97;28
719;598;17.3;5.17;5.1;2.81;87;2.41;70
579;691;31;10.71;5.8;3.28;87;3.11;80
677;556;23.6;6.56;4.7;3.62;93;2.74;69
500;560;19.3;5.4;3.6;1.33;41;2.39;83
645;459;26.5;6.08;5.1;2.20;71;2.24;85
1173;673;16.4;5.52;3.3;3.35;181;3.89;70
631;592;17.1;5.06;3.1;2.00;65;1.82;89
1186;737;23.1;8.51;14.8;1.42;219;1.31;41
1039;727;23.6;8.58;7;2.14;111;3.08;79
947;787;15.8;6.22;2.8;2.48;91;1.93;74
590;413;10.6;2.19;1.1;2.91;104;2.50;15
749;519;40.1;10.41;5.7;1.87;49;1.74;60
822;667;27.3;9.1;10.3;2.08;197;2.53;33
642;476;9.1;2.17;2.6;2.13;78;2.09;59
644;449;19.8;4.45;2.8;2.43;91;3.02;39
619;475;12.2;2.9;3.9;1.95;90;1.71;4
862;725;17.8;6.45;6.7;2.45;199;2.68;39
649;516;12.9;3.33;5.4;2.61;106;2.39;40
428;439;11.2;2.46;3.6;1.61;40;1.62;36
666;422;13.1;2.76;0.9;2.22;67;2.32;42
796;629;22.2;6.98;4.2;1.92;190;2.82;9
473;459;13.8;3.17;2.1;2.63;86;2.29;78
597;450;16.2;3.64;4.8;2.23;71;2.25;88
574;691;14.4;4.98;3.3;2.86;195;2.01;87
640;516;8.6;2.22;2.3;4.35;104;3.27;53
895;678;15.2;5.15;2.3;2.58;73;3.78;79
413;361;7.8;1.41;0.8;2.02;51;3.35;38
573;467;14;3.27;2.7;1.56;75;2.26;30
893;730;31.7;11.57;7.9;3.01;228;2.63;64
464;477;26.3;6.27;2.7;1.42;66;1.64;45
